match_id,match_date,home_team_id,home_team,away_team_id,away_team,home_team_goal,away_team_goal,attendance,referee,referee_id,season,category,winner_team_id
20240223t020t013,20240223,t020,サンフレッチェ広島,t013,浦和レッズ,2,0,"観客:27,545",中村 太,r009,2024,J1,t020
20240223t017t018,20240223,t017,名古屋グランパス,t018,鹿島アントラーズ,0,3,"観客:36,933",荒木 友輔,r003,2024,J1,t018
20240224t029t003,20240224,t029,ジュビロ磐田,t003,ヴィッセル神戸,0,2,"観客:14,778",川俣 秀,r012,2024,J1,t003
20240224t006t021,20240224,t006,アビスパ福岡,t021,北海道コンサドーレ札幌,0,0,"観客:9,445",池内 明彦,r014,2024,J1,draw
20240224t032t012,20240224,t032,サガン鳥栖,t012,アルビレックス新潟,1,2,"観客:9,610",笠原 寛貴,r022,2024,J1,t012
20240224t010t001,20240224,t010,ＦＣ町田ゼルビア,t001,ガンバ大阪,1,1,"観客:13,506",清水 勇人,r020,2024,J1,draw
20240224t008t007,20240224,t008,湘南ベルマーレ,t007,川崎フロンターレ,1,2,"観客:12,987",小屋 幸栄,r006,2024,J1,t007
20240224t011t014,20240224,t011,セレッソ大阪,t014,ＦＣ東京,2,2,"観客:20,705",山本 雄大,r010,2024,J1,draw
20240225t016t015,20240225,t016,柏レイソル,t015,京都サンガF.C.,1,1,"観客:10,478",飯田 淳平,r024,2024,J1,draw
20240225t009t002,20240225,t009,東京ヴェルディ,t002,横浜Ｆ・マリノス,1,2,"観客:53,026",木村 博之,r001,2024,J1,t002
20240301t002t006,20240301,t002,横浜Ｆ・マリノス,t006,アビスパ福岡,0,1,"観客:19,487",谷本 涼,r015,2024,J1,t006
20240301t007t029,20240301,t007,川崎フロンターレ,t029,ジュビロ磐田,4,5,"観客:20,316",飯田 淳平,r024,2024,J1,t029
20240302t003t016,20240302,t003,ヴィッセル神戸,t016,柏レイソル,0,1,"観客:23,107",イスマイル エルファス,r036,2024,J1,t016
20240302t017t010,20240302,t017,名古屋グランパス,t010,ＦＣ町田ゼルビア,0,1,"観客:30,415",今村 義朗,r019,2024,J1,t010
20240302t015t008,20240302,t015,京都サンガF.C.,t008,湘南ベルマーレ,1,2,"観客:11,885",中村 太,r009,2024,J1,t008
20240302t032t021,20240302,t032,サガン鳥栖,t021,北海道コンサドーレ札幌,4,0,"観客:7,346",川俣 秀,r012,2024,J1,t032
20240302t018t011,20240302,t018,鹿島アントラーズ,t011,セレッソ大阪,1,1,"観客:24,664",清水 勇人,r020,2024,J1,draw
20240302t001t012,20240302,t001,ガンバ大阪,t012,アルビレックス新潟,1,0,"観客:28,669",高崎 航地,r007,2024,J1,t001
20240302t014t020,20240302,t014,ＦＣ東京,t020,サンフレッチェ広島,1,1,"観客:32,274",福島 孝一郎,r002,2024,J1,draw
20240303t013t009,20240303,t013,浦和レッズ,t009,東京ヴェルディ,1,1,"観客:50,863",池内 明彦,r014,2024,J1,draw
20240309t010t018,20240309,t010,ＦＣ町田ゼルビア,t018,鹿島アントラーズ,1,0,"観客:11,901",イスマイル エルファス,r036,2024,J1,t010
20240309t029t016,20240309,t029,ジュビロ磐田,t016,柏レイソル,0,1,"観客:12,720",高崎 航地,r007,2024,J1,t016
20240309t012t017,20240309,t012,アルビレックス新潟,t017,名古屋グランパス,1,0,"観客:22,942",池内 明彦,r014,2024,J1,t012
20240309t020t032,20240309,t020,サンフレッチェ広島,t032,サガン鳥栖,4,0,"観客:25,503",山本 雄大,r010,2024,J1,t020
20240309t006t008,20240309,t006,アビスパ福岡,t008,湘南ベルマーレ,1,1,"観客:6,596",今村 義朗,r019,2024,J1,draw
20240309t011t009,20240309,t011,セレッソ大阪,t009,東京ヴェルディ,2,1,"観客:16,365",荒木 友輔,r003,2024,J1,t011
20240309t014t003,20240309,t014,ＦＣ東京,t003,ヴィッセル神戸,1,2,"観客:24,974",清水 勇人,r020,2024,J1,t003
20240309t007t015,20240309,t007,川崎フロンターレ,t015,京都サンガF.C.,0,1,"観客:20,757",ルイス ディーン スミス,r035,2024,J1,t015
20240310t021t013,20240310,t021,北海道コンサドーレ札幌,t013,浦和レッズ,0,1,"観客:18,942",谷本 涼,r015,2024,J1,t013
20240316t006t014,20240316,t006,アビスパ福岡,t014,ＦＣ東京,1,3,"観客:8,043",山下 良美,r021,2024,J1,t014
20240316t021t010,20240316,t021,北海道コンサドーレ札幌,t010,ＦＣ町田ゼルビア,1,2,"観客:14,607",荒木 友輔,r003,2024,J1,t010
20240316t003t020,20240316,t003,ヴィッセル神戸,t020,サンフレッチェ広島,0,0,"観客:21,669",木村 博之,r001,2024,J1,draw
20240316t016t017,20240316,t016,柏レイソル,t017,名古屋グランパス,0,2,"観客:12,897",小屋 幸栄,r006,2024,J1,t017
20240316t001t029,20240316,t001,ガンバ大阪,t029,ジュビロ磐田,2,1,"観客:24,341",福島 孝一郎,r002,2024,J1,t001
20240316t032t011,20240316,t032,サガン鳥栖,t011,セレッソ大阪,0,2,"観客:9,345",今村 義朗,r019,2024,J1,t011
20240316t009t012,20240316,t009,東京ヴェルディ,t012,アルビレックス新潟,2,2,"観客:17,055",上村 篤史,r004,2024,J1,draw
20240317t015t002,20240317,t015,京都サンガF.C.,t002,横浜Ｆ・マリノス,2,3,"観客:12,937",川俣 秀,r012,2024,J1,t002
20240317t008t013,20240317,t008,湘南ベルマーレ,t013,浦和レッズ,4,4,"観客:12,628",ルイス ディーン スミス,r035,2024,J1,draw
20240317t018t007,20240317,t018,鹿島アントラーズ,t007,川崎フロンターレ,2,1,"観客:24,947",中村 太,r009,2024,J1,t018
20240329t009t015,20240329,t009,東京ヴェルディ,t015,京都サンガF.C.,2,2,"観客:10,060",山本 雄大,r010,2024,J1,draw
20240330t020t001,20240330,t020,サンフレッチェ広島,t001,ガンバ大阪,1,1,"観客:25,683",岡部 拓人,r011,2024,J1,draw
20240330t012t016,20240330,t012,アルビレックス新潟,t016,柏レイソル,1,1,"観客:20,359",山下 良美,r021,2024,J1,draw
20240330t003t021,20240330,t003,ヴィッセル神戸,t021,北海道コンサドーレ札幌,6,1,"観客:17,374",笠原 寛貴,r022,2024,J1,t003
20240330t010t032,20240330,t010,ＦＣ町田ゼルビア,t032,サガン鳥栖,3,1,"観客:7,062",飯田 淳平,r024,2024,J1,t010
20240330t018t029,20240330,t018,鹿島アントラーズ,t029,ジュビロ磐田,1,0,"観客:21,069",小屋 幸栄,r006,2024,J1,t018
20240330t013t006,20240330,t013,浦和レッズ,t006,アビスパ福岡,2,1,"観客:37,826",荒木 友輔,r003,2024,J1,t013
20240330t007t014,20240330,t007,川崎フロンターレ,t014,ＦＣ東京,3,0,"観客:22,543",上田 益也,r008,2024,J1,t007
20240330t011t008,20240330,t011,セレッソ大阪,t008,湘南ベルマーレ,2,0,"観客:16,415",福島 孝一郎,r002,2024,J1,t011
20240330t017t002,20240330,t017,名古屋グランパス,t002,横浜Ｆ・マリノス,2,1,"観客:31,844",清水 勇人,r020,2024,J1,t017
20240403t010t020,20240403,t010,ＦＣ町田ゼルビア,t020,サンフレッチェ広島,1,2,"観客:5,240",小屋 幸栄,r006,2024,J1,t020
20240403t001t015,20240403,t001,ガンバ大阪,t015,京都サンガF.C.,0,0,"観客:16,763",山下 良美,r021,2024,J1,draw
20240403t016t011,20240403,t016,柏レイソル,t011,セレッソ大阪,1,1,"観客:8,081",中村 太,r009,2024,J1,draw
20240403t008t009,20240403,t008,湘南ベルマーレ,t009,東京ヴェルディ,1,2,"観客:6,803",高崎 航地,r007,2024,J1,t009
20240403t029t012,20240403,t029,ジュビロ磐田,t012,アルビレックス新潟,2,0,"観客:8,355",今村 義朗,r019,2024,J1,t029
20240403t006t018,20240403,t006,アビスパ福岡,t018,鹿島アントラーズ,1,0,"観客:5,472",福島 孝一郎,r002,2024,J1,t006
20240403t002t007,20240403,t002,横浜Ｆ・マリノス,t007,川崎フロンターレ,0,0,"観客:26,031",木村 博之,r001,2024,J1,draw
